"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"214","sp316",316,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","brassicae","plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"215","sp321",321,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium","lavendulum","animal_parasite","animal_decomposer","keratinolytic",NA,NA,NA,NA
"216","sp322",322,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"217","sp323",323,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Atrocalyx",NA,"wood_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"218","sp324",324,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla",NA,"mycoparasite","fungal_decomposer",NA,NA,NA,NA,NA
"219","sp328",328,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","atrogriseum","unspecified_saprotroph",NA,NA,NA,"none",NA,NA
"220","sp329",329,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha","fuckelii","litter_saprotroph","wood_saprotroph",NA,"mosses","apothecium_(hymenium_on_surface)",NA,NA
"221","sp331",331,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","intermedia","litter_saprotroph",NA,NA,NA,NA,NA,NA
"222","sp332",332,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","intermedia","litter_saprotroph",NA,NA,NA,NA,NA,NA
"223","sp336",336,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,NA,NA,NA
"224","sp337",337,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","chernovii","unspecified_saprotroph",NA,NA,NA,"none",NA,NA
"225","sp338",338,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Aphanoascus",NA,"soil_saprotroph","animal_decomposer","keratinolytic",NA,NA,NA,NA
"226","sp340",340,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Poaceascoma",NA,"wood_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"227","sp342",342,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta","acicola","unspecified_saprotroph",NA,NA,NA,"other",NA,NA
"228","sp343",343,"Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Tyrannosorus",NA,"wood_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"229","sp344",344,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","bamuru","soil_saprotroph","root_endophyte",NA,NA,"apothecium_(hymenium_on_surface)",NA,NA
"230","sp345",345,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","intestinacea","dung_saprotroph","foliar_endophyte",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"231","sp346",346,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium",NA,"dung_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"232","sp348",348,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia",NA,"wood_saprotroph",NA,NA,NA,"corticioid",NA,NA
"233","sp349",349,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","parvifructum","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"234","sp351",351,"Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium",NA,"algal_parasite","plant_pathogen",NA,NA,"zoosporangium",NA,NA
"235","sp354",354,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","podzolica","soil_saprotroph",NA,NA,NA,"none",NA,NA
"236","sp360",360,"Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium",NA,"algal_parasite","plant_pathogen",NA,NA,"zoosporangium",NA,NA
"237","sp361",361,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","intestinacea","dung_saprotroph","foliar_endophyte",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
